device_id,name,group,timestamp,true_value,historical,knn,combined,timesfm
27,2029 (SM4),C-ShortHistory,23-09-2021 09:00,56.0,57.0,58.5,58.1652200867948,57
27,2029 (SM4),C-ShortHistory,04-09-2021 22:00,56.0,61.0,55.0,60.25663716814159,57
27,2029 (SM4),C-ShortHistory,01-11-2021 13:00,59.0,57.0,59.0,58.08609784432683,60
27,2029 (SM4),C-ShortHistory,27-10-2021 02:00,49.0,53.5,50.0,50.364229964801304,50
27,2029 (SM4),C-ShortHistory,08-11-2021 21:00,56.0,55.5,55.0,55.1616828929068,56
27,2029 (SM4),C-ShortHistory,08-09-2021 07:00,56.0,56.0,58.0,57.86646884272997,57
27,2029 (SM4),C-ShortHistory,07-10-2021 11:00,58.0,57.5,59.0,58.28088506453595,58
27,2029 (SM4),C-ShortHistory,05-09-2021 07:00,49.0,59.0,50.0,52.10160934048595,51
27,2029 (SM4),C-ShortHistory,27-09-2021 16:00,58.0,58.5,59.0,58.740935815776574,58
27,2029 (SM4),C-ShortHistory,04-09-2021 03:00,59.0,60.0,53.0,57.52218782249742,60
27,2029 (SM4),C-ShortHistory,24-10-2021 13:00,54.0,61.0,56.0,57.20584652862363,55
27,2029 (SM4),C-ShortHistory,27-10-2021 00:00,55.0,55.0,55.0,54.99999999999999,52
27,2029 (SM4),C-ShortHistory,19-09-2021 08:00,53.0,57.5,53.0,55.893954410307224,55
27,2029 (SM4),C-ShortHistory,03-10-2021 20:00,54.0,54.0,56.5,55.5008326394671,55
27,2029 (SM4),C-ShortHistory,21-09-2021 05:00,48.0,50.0,49.0,49.148668180879625,48
27,2029 (SM4),C-ShortHistory,13-10-2021 20:00,54.0,55.0,56.0,55.749303621169915,54
27,2029 (SM4),C-ShortHistory,02-09-2021 03:00,60.0,53.0,49.0,50.331639135959335,
27,2029 (SM4),C-ShortHistory,01-11-2021 23:00,51.0,54.0,52.0,52.36546145599844,52
27,2029 (SM4),C-ShortHistory,03-11-2021 09:00,58.0,57.0,61.0,60.1466267427716,59
27,2029 (SM4),C-ShortHistory,07-10-2021 01:00,51.0,50.5,52.0,51.21496904895892,50
27,2029 (SM4),C-ShortHistory,07-11-2021 06:00,50.0,52.0,50.0,51.09090909090909,49
27,2029 (SM4),C-ShortHistory,17-09-2021 22:00,54.0,53.0,55.0,54.491945477075596,53
27,2029 (SM4),C-ShortHistory,21-10-2021 04:00,49.0,51.5,53.0,52.651108699023105,51
27,2029 (SM4),C-ShortHistory,01-11-2021 16:00,57.0,57.0,58.0,57.864805451747635,58
27,2029 (SM4),C-ShortHistory,19-10-2021 17:00,55.0,57.5,57.0,57.088706600534145,56
27,2029 (SM4),C-ShortHistory,06-11-2021 09:00,56.0,57.0,57.0,57.0,54
27,2029 (SM4),C-ShortHistory,26-09-2021 22:00,52.0,53.5,53.0,53.05696202531645,53
27,2029 (SM4),C-ShortHistory,23-10-2021 06:00,58.0,54.0,59.0,56.156657963446484,57
27,2029 (SM4),C-ShortHistory,25-10-2021 16:00,57.0,61.0,59.0,59.348525469168905,57
27,2029 (SM4),C-ShortHistory,31-10-2021 11:00,56.0,57.0,58.0,57.80313293818798,56
27,2029 (SM4),C-ShortHistory,13-10-2021 15:00,57.0,58.0,59.0,58.71428571428571,57
27,2029 (SM4),C-ShortHistory,07-10-2021 05:00,50.0,51.0,53.0,51.80076546884967,50
27,2029 (SM4),C-ShortHistory,15-09-2021 03:00,50.0,47.5,48.0,47.78571428571429,52
27,2029 (SM4),C-ShortHistory,21-09-2021 02:00,46.0,50.5,47.0,47.193726937269375,48
27,2029 (SM4),C-ShortHistory,09-09-2021 03:00,47.0,53.0,47.0,47.15272727272727,47
27,2029 (SM4),C-ShortHistory,30-09-2021 21:00,55.0,54.0,56.0,55.502212389380524,55
27,2029 (SM4),C-ShortHistory,01-09-2021 13:00,62.0,,60.0,60.0,
27,2029 (SM4),C-ShortHistory,28-09-2021 14:00,57.0,57.5,60.0,59.069894516772784,59
27,2029 (SM4),C-ShortHistory,30-09-2021 14:00,59.0,57.0,59.0,57.64270131841032,57
27,2029 (SM4),C-ShortHistory,05-11-2021 00:00,51.0,51.5,51.0,51.11246918652424,51
27,2029 (SM4),C-ShortHistory,25-10-2021 09:00,57.0,60.5,59.0,59.16889074228524,58
27,2029 (SM4),C-ShortHistory,13-10-2021 21:00,53.0,54.0,55.0,54.705882352941174,53
27,2029 (SM4),C-ShortHistory,10-11-2021 10:00,60.0,57.0,62.0,61.42784488239033,60
27,2029 (SM4),C-ShortHistory,30-10-2021 13:00,58.0,57.0,59.0,58.21480782834237,56
27,2029 (SM4),C-ShortHistory,05-10-2021 16:00,60.0,58.0,62.0,59.120000000000005,60
27,2029 (SM4),C-ShortHistory,07-09-2021 18:00,58.0,60.5,58.0,59.06029637199796,58
27,2029 (SM4),C-ShortHistory,28-09-2021 23:00,52.0,52.5,52.0,52.07860262008734,51
27,2029 (SM4),C-ShortHistory,10-11-2021 03:00,50.0,49.0,56.0,53.09036628774831,51
27,2029 (SM4),C-ShortHistory,31-10-2021 14:00,56.0,56.5,59.0,58.267578125,56
27,2029 (SM4),C-ShortHistory,03-11-2021 07:00,56.0,55.0,57.0,56.226128562513004,53
27,2029 (SM4),C-ShortHistory,12-09-2021 06:00,51.0,52.5,53.0,52.955621301775146,51
27,2029 (SM4),C-ShortHistory,03-11-2021 16:00,60.0,57.0,61.0,59.06186695866411,59
27,2029 (SM4),C-ShortHistory,11-10-2021 01:00,47.0,52.0,48.0,50.66112266112266,48
